trait_index	differential	left_pole	right_pole	care	fairness	loyalty	authority	purity	liberty	general	notes
251	oppressed :: privileged	oppressed	privileged	0	0	0	0	0	1	0	concerns freedom and equality
252	sunny :: gloomy	sunny	gloomy	0	0	0	0	0	0	0	lacks clear moral weight
253	vegan :: cannibal	vegan	cannibal	0	0	0	0	0	0	0	lacks clear moral weight
254	loveable :: punchable	loveable	punchable	1	0	0	0	0	0	0	concerns harm and well-being
255	slow-talking :: fast-talking	slow-talking	fast-talking	0	0	0	0	0	0	0	lacks clear moral weight
256	believable :: poorly-written	believable	poorly-written	0	0	0	0	0	0	0	lacks clear moral weight
257	vibrant :: geriatric	vibrant	geriatric	0	0	0	0	0	0	0	lacks clear moral weight
258	consistent :: variable	consistent	variable	0	0	0	0	0	0	0	lacks clear moral weight
259	dispassionate :: romantic	dispassionate	romantic	0	0	0	0	0	0	0	lacks clear moral weight
260	linear :: circular	linear	circular	0	0	0	0	0	0	0	lacks clear moral weight
261	intense :: lighthearted	intense	lighthearted	0	0	0	0	0	0	0	lacks clear moral weight
262	knowledgeable :: ignorant	knowledgeable	ignorant	0	0	0	0	0	0	0	lacks clear moral weight
263	fixable :: unfixable	fixable	unfixable	0	0	0	0	0	0	0	lacks clear moral weight
264	exuberant :: subdued	exuberant	subdued	0	0	0	0	0	0	0	lacks clear moral weight
265	secretive :: open-book	secretive	open-book	0	0	0	0	0	0	0	lacks clear moral weight
266	perceptive :: unobservant	perceptive	unobservant	0	0	0	0	0	0	0	lacks clear moral weight
267	folksy :: presidential	folksy	presidential	0	0	0	0	0	0	0	lacks clear moral weight
268	corporate :: freelance	corporate	freelance	0	0	0	0	0	0	0	lacks clear moral weight
269	sleepy :: frenzied	sleepy	frenzied	0	0	0	0	0	0	0	lacks clear moral weight
270	loose :: tight	loose	tight	0	0	0	0	0	0	0	lacks clear moral weight
271	narcissistic :: low self esteem	narcissistic	low self esteem	0	0	0	0	0	0	0	lacks clear moral weight
272	poetic :: factual	poetic	factual	0	0	0	0	0	0	0	lacks clear moral weight
273	melee :: ranged	melee	ranged	0	0	0	0	0	0	0	lacks clear moral weight
274	giggling :: chortling	giggling	chortling	0	0	0	0	0	0	0	lacks clear moral weight
275	whippersnapper :: sage	whippersnapper	sage	0	0	0	0	0	0	0	lacks clear moral weight
