trait_index	differential	left_pole	right_pole
276	tailor :: blacksmith	tailor	blacksmith
277	hunter :: gatherer	hunter	gatherer
278	experimental :: reliable	experimental	reliable
279	moist :: dry	moist	dry
280	trolling :: triggered	trolling	triggered
281	tattle-tale :: f***-the-police	tattle-tale	f***-the-police
282	punk rock :: preppy	punk rock	preppy
283	realistic :: fantastical	realistic	fantastical
284	trendy :: vintage	trendy	vintage
285	factual :: exaggerating	factual	exaggerating
286	good-cook :: bad-cook	good-cook	bad-cook
287	comedic :: dramatic	comedic	dramatic
288	OCD :: ADHD	OCD	ADHD
289	interrupting :: attentive	interrupting	attentive
290	exhibitionist :: bashful	exhibitionist	bashful
291	badass :: weakass	badass	weakass
292	gamer :: non-gamer	gamer	non-gamer
293	random :: pointed	random	pointed
294	epic :: deep	epic	deep
295	serene :: pensive	serene	pensive
296	bored :: interested	bored	interested
297	envious :: prideful	envious	prideful
298	ironic :: profound	ironic	profound
299	sexual :: asexual	sexual	asexual
300	clean :: perverted	clean	perverted
