trait_index	differential	left_pole	right_pole
51	reasoned :: instinctual	reasoned	instinctual
52	focused on the present :: focused on the future	focused on the present	focused on the future
53	empirical :: theoretical	empirical	theoretical
54	open :: guarded	open	guarded
55	methodical :: astonishing	methodical	astonishing
56	mighty :: puny	mighty	puny
57	bossy :: meek	bossy	meek
58	barbaric :: civilized	barbaric	civilized
59	gregarious :: private	gregarious	private
60	quiet :: loud	quiet	loud
61	political :: nonpolitical	political	nonpolitical
62	confident :: insecure	confident	insecure
63	democratic :: authoritarian	democratic	authoritarian
64	debased :: pure	debased	pure
65	fast :: slow	fast	slow
66	frugal :: lavish	frugal	lavish
67	ludicrous :: sensible	ludicrous	sensible
68	orange :: purple	orange	purple
69	tall :: short	tall	short
70	young :: old	young	old
71	down2earth :: head@clouds	down2earth	head@clouds
72	extrovert :: introvert	extrovert	introvert
73	open to new experiences :: uncreative	open to new experiences	uncreative
74	calm :: anxious	calm	anxious
75	disorganized :: self-disciplined	disorganized	self-disciplined
