trait_index	differential	left_pole	right_pole
26	wise :: foolish	wise	foolish
27	impulsive :: cautious	impulsive	cautious
28	loyal :: traitorous	loyal	traitorous
29	creative :: conventional	creative	conventional
30	curious :: apathetic	curious	apathetic
31	rude :: respectful	rude	respectful
32	diligent :: lazy	diligent	lazy
33	lustful :: chaste	lustful	chaste
34	chatty :: reserved	chatty	reserved
35	emotional :: logical	emotional	logical
36	moody :: stable	moody	stable
37	dunce :: genius	dunce	genius
38	arrogant :: humble	arrogant	humble
39	heroic :: villainous	heroic	villainous
40	attractive :: repulsive	attractive	repulsive
41	rational :: whimsical	rational	whimsical
42	mischievous :: well behaved	mischievous	well behaved
43	aloof :: obsessed	aloof	obsessed
44	indulgent :: sober	indulgent	sober
45	kinky :: vanilla	kinky	vanilla
46	straightforward :: cryptic	straightforward	cryptic
47	spontaneous :: deliberate	spontaneous	deliberate
48	libertarian :: socialist	libertarian	socialist
49	scheduled :: spontaneous	scheduled	spontaneous
50	works hard :: plays hard	works hard	plays hard
