trait_index	differential	left_pole	right_pole
326	jealous :: opinionated	jealous	opinionated
327	protagonist :: antagonist	protagonist	antagonist
328	devoted :: unfaithful	devoted	unfaithful
329	fearmongering :: reassuring	fearmongering	reassuring
330	common sense :: analysis	common sense	analysis
331	unemotional :: emotional	unemotional	emotional
332	rap :: rock	rap	rock
333	genocidal :: not genocidal	genocidal	not genocidal
334	cat person :: dog person	cat person	dog person
335	indie :: pop	indie	pop
336	cultured :: rustic	cultured	rustic
337	tautology :: oxymoron	tautology	oxymoron
338	bad boy :: white knight	bad boy	white knight
339	princess :: queen	princess	queen
340	hypochondriac :: stoic	hypochondriac	stoic
341	yes-man :: contrarian	yes-man	contrarian
342	giving :: receiving	giving	receiving
343	chic :: cheesy	chic	cheesy
344	celebrity :: boy/girl-next-door	celebrity	boy/girl-next-door
345	goth :: flower child	goth	flower child
346	summer :: winter	summer	winter
347	frank :: sugarcoated	frank	sugarcoated
348	naive :: paranoid	naive	paranoid
349	gullible :: cynical	gullible	cynical
350	motivated :: unmotivated	motivated	unmotivated
