trait_index	differential	left_pole	right_pole
251	oppressed :: privileged	oppressed	privileged
252	sunny :: gloomy	sunny	gloomy
253	vegan :: cannibal	vegan	cannibal
254	loveable :: punchable	loveable	punchable
255	slow-talking :: fast-talking	slow-talking	fast-talking
256	believable :: poorly-written	believable	poorly-written
257	vibrant :: geriatric	vibrant	geriatric
258	consistent :: variable	consistent	variable
259	dispassionate :: romantic	dispassionate	romantic
260	linear :: circular	linear	circular
261	intense :: lighthearted	intense	lighthearted
262	knowledgeable :: ignorant	knowledgeable	ignorant
263	fixable :: unfixable	fixable	unfixable
264	exuberant :: subdued	exuberant	subdued
265	secretive :: open-book	secretive	open-book
266	perceptive :: unobservant	perceptive	unobservant
267	folksy :: presidential	folksy	presidential
268	corporate :: freelance	corporate	freelance
269	sleepy :: frenzied	sleepy	frenzied
270	loose :: tight	loose	tight
271	narcissistic :: low self esteem	narcissistic	low self esteem
272	poetic :: factual	poetic	factual
273	melee :: ranged	melee	ranged
274	giggling :: chortling	giggling	chortling
275	whippersnapper :: sage	whippersnapper	sage
