trait_index	differential	left_pole	right_pole
376	capitalist :: communist	capitalist	communist
377	positive :: negative	positive	negative
378	grounded :: fantasy-prone	grounded	fantasy-prone
379	thinker :: feeler	thinker	feeler
380	insightful :: generic	insightful	generic
381	questioning :: believing	questioning	believing
382	proud :: apologetic	proud	apologetic
383	bubbly :: flat	bubbly	flat
384	tired :: wired	tired	wired
385	woke :: problematic	woke	problematic
386	grumpy :: cheery	grumpy	cheery
387	hippie :: militaristic	hippie	militaristic
388	gluttonous :: moderate	gluttonous	moderate
389	flawed :: perfect	flawed	perfect
390	sweet :: savory	sweet	savory
391	annoying :: unannoying	annoying	unannoying
392	good-manners :: bad-manners	good-manners	bad-manners
393	evolutionist :: creationist	evolutionist	creationist
394	fulfilled :: unfulfilled	fulfilled	unfulfilled
395	friendly :: unfriendly	friendly	unfriendly
396	innovative :: routine	innovative	routine
397	delicate :: coarse	delicate	coarse
398	resentful :: euphoric	resentful	euphoric
399	uptight :: easy	uptight	easy
400	blue :: red	blue	red
