trait_index	differential	left_pole	right_pole
401	slumbering :: insomniac	slumbering	insomniac
402	spirited :: lifeless	spirited	lifeless
403	outgoing :: withdrawn	outgoing	withdrawn
404	Hates PDA :: Constant PDA	Hates PDA	Constant PDA
405	buffoon :: charmer	buffoon	charmer
406	sloppy :: fussy	sloppy	fussy
407	accurate :: off target	accurate	off target
408	harsh :: gentle	harsh	gentle
409	clinical :: heartfelt	clinical	heartfelt
410	inappropriate :: seemly	inappropriate	seemly
411	smug :: sheepish	smug	sheepish
412	fake :: real	fake	real
413	popular :: rejected	popular	rejected
414	catty :: supportive	catty	supportive
415	chronically single :: serial dater	chronically single	serial dater
416	people-person :: things-person	people-person	things-person
417	eager :: reluctant	eager	reluctant
418	goal-oriented :: experience-oriented	goal-oriented	experience-oriented
419	outdoorsy :: indoorsy	outdoorsy	indoorsy
420	divine :: earthly	divine	earthly
421	foodie :: unenthusiastic about food	foodie	unenthusiastic about food
422	chill :: sassy	chill	sassy
423	glamorous :: spartan	glamorous	spartan
424	prankster :: anti-prank	prankster	anti-prank
425	goofy :: unfrivolous	goofy	unfrivolous
