trait_index	differential	left_pole	right_pole
101	biased :: impartial	biased	impartial
102	mundane :: extraordinary	mundane	extraordinary
103	tiresome :: interesting	tiresome	interesting
104	smooth :: rough	smooth	rough
105	spicy :: mild	spicy	mild
106	enslaved :: emancipated	enslaved	emancipated
107	optimistic :: pessimistic	optimistic	pessimistic
108	sickly :: healthy	sickly	healthy
109	luddite :: technophile	luddite	technophile
110	vain :: demure	vain	demure
111	high-tech :: low-tech	high-tech	low-tech
112	flexible :: rigid	flexible	rigid
113	cosmopolitan :: provincial	cosmopolitan	provincial
114	arcane :: mainstream	arcane	mainstream
115	outlaw :: sheriff	outlaw	sheriff
116	pronatalist :: child free	pronatalist	child free
117	sad :: happy	sad	happy
118	jealous :: compersive	jealous	compersive
119	bitter :: sweet	bitter	sweet
120	resigned :: resistant	resigned	resistant
121	sarcastic :: genuine	sarcastic	genuine
122	human :: animalistic	human	animalistic
123	sporty :: bookish	sporty	bookish
124	moderate :: extreme	moderate	extreme
125	angry :: good-humored	angry	good-humored
