trait_index	differential	left_pole	right_pole
426	noble :: jovial	noble	jovial
427	blessed :: cursed	blessed	cursed
428	forward :: repressed	forward	repressed
429	entrepreneur :: employee	entrepreneur	employee
430	quivering :: unstirring	quivering	unstirring
431	mechanical :: natural	mechanical	natural
432	minds-own-business :: snoops	minds-own-business	snoops
433	prying :: unmeddlesome	prying	unmeddlesome
434	leader :: follower	leader	follower
435	handy :: can't-fix-anything	handy	can't-fix-anything
436	green thumb :: plant-neglecter	green thumb	plant-neglecter
437	activist :: nonpartisan	activist	nonpartisan
438	photographer :: physicist	photographer	physicist
439	lumberjack :: mad-scientist	lumberjack	mad-scientist
440	pointless :: meaningful	pointless	meaningful
441	focused :: absentminded	focused	absentminded
442	bear :: wolf	bear	wolf
443	lion :: zebra	lion	zebra
444	kangaroo :: dolphin	kangaroo	dolphin
445	all-seeing :: blind	all-seeing	blind
446	engineerial :: lawyerly	engineerial	lawyerly
447	love shy :: cassanova	love shy	cassanova
448	disturbing :: enchanting	disturbing	enchanting
449	maverick :: conformist	maverick	conformist
450	social climber :: nonconformist	social climber	nonconformist
