trait_index	differential	left_pole	right_pole
451	social chameleon :: strong identity	social chameleon	strong identity
452	awkward :: comfortable	awkward	comfortable
453	sincere :: irreverent	sincere	irreverent
454	intuitive :: analytical	intuitive	analytical
455	cringing away :: welcoming experience	cringing away	welcoming experience
456	stereotypical :: boundary breaking	stereotypical	boundary breaking
457	energetic :: mellow	energetic	mellow
458	hopeful :: fearful	hopeful	fearful
459	likes change :: resists change	likes change	resists change
460	manic :: mild	manic	mild
461	old-fashioned :: progressive	old-fashioned	progressive
462	gross :: hygienic	gross	hygienic
463	stable :: unstable	stable	unstable
464	overthinker :: underthinker	overthinker	underthinker
