trait_index	differential	left_pole	right_pole
226	racist :: egalitarian	racist	egalitarian
227	abstract :: concrete	abstract	concrete
228	formal :: intimate	formal	intimate
229	resolute :: wavering	resolute	wavering
230	deep :: shallow	deep	shallow
231	valedictorian :: drop out	valedictorian	drop out
232	minimalist :: pack rat	minimalist	pack rat
233	trash :: treasure	trash	treasure
234	stinky :: fresh	stinky	fresh
235	legit :: scrub	legit	scrub
236	self-destructive :: self-improving	self-destructive	self-improving
237	French :: Russian	French	Russian
238	German :: English	German	English
239	Italian :: Swedish	Italian	Swedish
240	Greek :: Roman	Greek	Roman
241	traumatized :: flourishing	traumatized	flourishing
242	sturdy :: flimsy	sturdy	flimsy
243	macho :: metrosexual	macho	metrosexual
244	claustrophobic :: spelunker	claustrophobic	spelunker
245	offended :: chill	offended	chill
246	rhythmic :: stuttering	rhythmic	stuttering
247	musical :: off-key	musical	off-key
248	lost :: enlightened	lost	enlightened
249	masochistic :: pain-avoidant	masochistic	pain-avoidant
250	efficient :: overprepared	efficient	overprepared
