trait_index	differential	left_pole	right_pole
76	quarrelsome :: warm	quarrelsome	warm
77	nerd :: jock	nerd	jock
78	lowbrow :: highbrow	lowbrow	highbrow
79	selfish :: altruistic	selfish	altruistic
80	autistic :: neurotypical	autistic	neurotypical
81	angelic :: demonic	angelic	demonic
82	hesitant :: decisive	hesitant	decisive
83	devout :: heathen	devout	heathen
84	cruel :: kind	cruel	kind
85	direct :: roundabout	direct	roundabout
86	mathematical :: literary	mathematical	literary
87	blue-collar :: ivory-tower	blue-collar	ivory-tower
88	slovenly :: stylish	slovenly	stylish
89	playful :: shy	playful	shy
90	serious :: bold	serious	bold
91	charming :: trusting	charming	trusting
92	awkward :: suspicious	awkward	suspicious
93	hipster :: basic	hipster	basic
94	coordinated :: clumsy	coordinated	clumsy
95	funny :: humorless	funny	humorless
96	politically correct :: edgy	politically correct	edgy
97	rich :: poor	rich	poor
98	hard :: soft	hard	soft
99	remote :: involved	remote	involved
100	metaphorical :: literal	metaphorical	literal
