trait_index	differential	left_pole	right_pole
176	androgynous :: gendered	androgynous	gendered
177	repetitive :: varied	repetitive	varied
178	patient :: impatient	patient	impatient
179	poisonous :: nurturing	poisonous	nurturing
180	creepy :: disarming	creepy	disarming
181	inspiring :: cringeworthy	inspiring	cringeworthy
182	soulless :: soulful	soulless	soulful
183	beautiful :: ugly	beautiful	ugly
184	domestic :: industrial	domestic	industrial
185	juvenile :: mature	juvenile	mature
186	idealist :: realist	idealist	realist
187	nihilist :: existentialist	nihilist	existentialist
188	objective :: subjective	objective	subjective
189	theist :: atheist	theist	atheist
190	classical :: avant-garde	classical	avant-garde
191	utilitarian :: decorative	utilitarian	decorative
192	generalist :: specialist	generalist	specialist
193	multicolored :: monochrome	multicolored	monochrome
194	complimentary :: insulting	complimentary	insulting
195	individualist :: communal	individualist	communal
196	equitable :: hypocritical	equitable	hypocritical
197	traditional :: unorthodox	traditional	unorthodox
198	workaholic :: slacker	workaholic	slacker
199	resourceful :: helpless	resourceful	helpless
200	crazy :: sane	crazy	sane
