trait_index	differential	left_pole	right_pole
301	empath :: psychopath	empath	psychopath
302	haunted :: blissful	haunted	blissful
303	entitled :: grateful	entitled	grateful
304	ambitious :: realistic	ambitious	realistic
305	stuck-in-the-past :: forward-thinking	stuck-in-the-past	forward-thinking
306	fire :: water	fire	water
307	earth :: air	earth	air
308	lover :: fighter	lover	fighter
309	overachiever :: underachiever	overachiever	underachiever
310	Coke :: Pepsi	Coke	Pepsi
311	twitchy :: still	twitchy	still
312	freak :: normie	freak	normie
313	thinker :: doer	thinker	doer
314	hard-work :: natural-talent	hard-work	natural-talent
315	stingy :: generous	stingy	generous
316	stubborn :: accommodating	stubborn	accommodating
317	extravagant :: thrifty	extravagant	thrifty
318	demanding :: unchallenging	demanding	unchallenging
319	two-faced :: one-faced	two-faced	one-faced
320	plastic :: wooden	plastic	wooden
321	neutral :: opinionated	neutral	opinionated
322	chivalrous :: businesslike	chivalrous	businesslike
323	high standards :: desperate	high standards	desperate
324	on-time :: tardy	on-time	tardy
325	everyman :: chosen one	everyman	chosen one
