trait_index	differential	left_pole	right_pole
151	vague :: precise	vague	precise
152	philosophical :: real	philosophical	real
153	modern :: historical	modern	historical
154	judgemental :: accepting	judgemental	accepting
155	average :: deviant	average	deviant
156	gossiping :: confidential	gossiping	confidential
157	official :: backdoor	official	backdoor
158	scholarly :: crafty	scholarly	crafty
159	leisurely :: hurried	leisurely	hurried
160	explorer :: builder	explorer	builder
161	captain :: first-mate	captain	first-mate
162	mysterious :: unambiguous	mysterious	unambiguous
163	independent :: codependent	independent	codependent
164	family-first :: work-first	family-first	work-first
165	scruffy :: manicured	scruffy	manicured
166	wild :: tame	wild	tame
167	prestigious :: disreputable	prestigious	disreputable
168	scandalous :: proper	scandalous	proper
169	unprepared :: hoarder	unprepared	hoarder
170	sheltered :: street-smart	sheltered	street-smart
171	open-minded :: close-minded	open-minded	close-minded
172	permanent :: transient	permanent	transient
173	dramatic :: no-nonsense	dramatic	no-nonsense
174	apprentice :: master	apprentice	master
175	straight :: queer	straight	queer
