trait_index	differential	left_pole	right_pole
126	depressed :: bright	depressed	bright
127	self-conscious :: self-assured	self-conscious	self-assured
128	vulnerable :: armoured	vulnerable	armoured
129	warm :: cold	warm	cold
130	assertive :: passive	assertive	passive
131	active :: slothful	active	slothful
132	imaginative :: practical	imaginative	practical
133	adventurous :: stick-in-the-mud	adventurous	stick-in-the-mud
134	obedient :: rebellious	obedient	rebellious
135	competent :: incompetent	competent	incompetent
136	unambitious :: driven	unambitious	driven
137	simple :: complicated	simple	complicated
138	proletariat :: bourgeoisie	proletariat	bourgeoisie
139	alpha :: beta	alpha	beta
140	right-brained :: left-brained	right-brained	left-brained
141	thick-skinned :: sensitive	thick-skinned	sensitive
142	charismatic :: uninspiring	charismatic	uninspiring
143	feisty :: gracious	feisty	gracious
144	eloquent :: unpolished	eloquent	unpolished
145	high IQ :: low IQ	high IQ	low IQ
146	insider :: outsider	insider	outsider
147	morning lark :: night owl	morning lark	night owl
148	thin :: thick	thin	thick
149	sheeple :: conspiracist	sheeple	conspiracist
150	neat :: messy	neat	messy
