trait_index	differential	left_pole	right_pole
201	anarchist :: statist	anarchist	statist
202	cool :: dorky	cool	dorky
203	important :: irrelevant	important	irrelevant
204	noob :: pro	noob	pro
205	deranged :: reasonable	deranged	reasonable
206	rural :: urban	rural	urban
207	introspective :: not introspective	introspective	not introspective
208	city-slicker :: country-bumpkin	city-slicker	country-bumpkin
209	western :: eastern	western	eastern
210	mad :: glad	mad	glad
211	social :: reclusive	social	reclusive
212	studious :: goof-off	studious	goof-off
213	slugabed :: go-getter	slugabed	go-getter
214	penny-pincher :: overspender	penny-pincher	overspender
215	liberal :: conservative	liberal	conservative
216	unassuming :: pretentious	unassuming	pretentious
217	persistent :: quitter	persistent	quitter
218	hedonist :: monastic	hedonist	monastic
219	patriotic :: unpatriotic	patriotic	unpatriotic
220	tactful :: indiscreet	tactful	indiscreet
221	wholesome :: salacious	wholesome	salacious
222	joyful :: miserable	joyful	miserable
223	zany :: regular	zany	regular
224	alert :: oblivious	alert	oblivious
225	feminist :: sexist	feminist	sexist
