trait_index	differential	left_pole	right_pole
351	radical :: centrist	radical	centrist
352	monotone :: expressive	monotone	expressive
353	love-focused :: money-focused	love-focused	money-focused
354	transparent :: machiavellian	transparent	machiavellian
355	timid :: cocky	timid	cocky
356	concise :: long-winded	concise	long-winded
357	picky :: always down	picky	always down
358	proactive :: reactive	proactive	reactive
359	prudish :: flirtatious	prudish	flirtatious
360	innocent :: jaded	innocent	jaded
361	touchy-feely :: distant	touchy-feely	distant
362	muddy :: washed	muddy	washed
363	quirky :: predictable	quirky	predictable
364	never cries :: often crying	never cries	often crying
365	main character :: side character	main character	side character
366	original :: cliché	original	cliché
367	hugs :: handshakes	hugs	handshakes
368	homebody :: world traveler	homebody	world traveler
369	naughty :: nice	naughty	nice
370	junkie :: straight edge	junkie	straight edge
371	small-vocabulary :: big-vocabulary	small-vocabulary	big-vocabulary
372	dystopian :: utopian	dystopian	utopian
373	parental :: childlike	parental	childlike
374	writer :: reader	writer	reader
375	creator :: consumer	creator	consumer
