index	character	character in latex	character/story	character/story in latex	card url
1	Wynonna Earp	Wynonna Earp	Wynonna Earp/Wynonna Earp	Wynonna Earp/Wynonna Earp	https://compstorylab.org/archetypometrics/cards/Wynonna-Earp-Wynonna-Earp-1600-364-241.pdf
2	Doc Holliday	Doc Holliday	Doc Holliday/Wynonna Earp	Doc Holliday/Wynonna Earp	https://compstorylab.org/archetypometrics/cards/Wynonna-Earp-Doc-Holliday-1600-364-241.pdf
3	Waverly Earp	Waverly Earp	Waverly Earp/Wynonna Earp	Waverly Earp/Wynonna Earp	https://compstorylab.org/archetypometrics/cards/Wynonna-Earp-Waverly-Earp-1600-364-241.pdf
4	Nicole Haught	Nicole Haught	Nicole Haught/Wynonna Earp	Nicole Haught/Wynonna Earp	https://compstorylab.org/archetypometrics/cards/Wynonna-Earp-Nicole-Haught-1600-364-241.pdf
5	Jeremy Chetri	Jeremy Chetri	Jeremy Chetri/Wynonna Earp	Jeremy Chetri/Wynonna Earp	https://compstorylab.org/archetypometrics/cards/Wynonna-Earp-Jeremy-Chetri-1600-364-241.pdf
6	Rick Grimes	Rick Grimes	Rick Grimes/The Walking Dead	Rick Grimes/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Rick-Grimes-1600-364-241.pdf
7	Shane Walsh	Shane Walsh	Shane Walsh/The Walking Dead	Shane Walsh/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Shane-Walsh-1600-364-241.pdf
8	Lori Grimes	Lori Grimes	Lori Grimes/The Walking Dead	Lori Grimes/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Lori-Grimes-1600-364-241.pdf
9	Andrea	Andrea	Andrea/The Walking Dead	Andrea/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Andrea-1600-364-241.pdf
10	Dale Horvath	Dale Horvath	Dale Horvath/The Walking Dead	Dale Horvath/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Dale-Horvath-1600-364-241.pdf
11	Glenn Rhee	Glenn Rhee	Glenn Rhee/The Walking Dead	Glenn Rhee/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Glenn-Rhee-1600-364-241.pdf
12	Carl Grimes	Carl Grimes	Carl Grimes/The Walking Dead	Carl Grimes/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Carl-Grimes-1600-364-241.pdf
13	Daryl Dixon	Daryl Dixon	Daryl Dixon/The Walking Dead	Daryl Dixon/The Walking Dead	https://compstorylab.org/archetypometrics/cards/The-Walking-Dead-Daryl-Dixon-1600-364-241.pdf
