trait_index	differential	left_pole	right_pole	care	fairness	loyalty	authority	purity	liberty	general	notes
376	capitalist :: communist	capitalist	communist	0	0	0	0	0	0	0	
377	positive :: negative	positive	negative	0	0	0	0	0	0	0	
378	grounded :: fantasy-prone	grounded	fantasy-prone	0	0	0	0	0	0	0	
379	thinker :: feeler	thinker	feeler	1	0	0	0	0	0	0	feeler pole (empathy/values)
380	insightful :: generic	insightful	generic	0	0	0	0	0	0	0	
381	questioning :: believing	questioning	believing	0	0	0	1	0	0	0	deference vs dissent toward authority/tradition
382	proud :: apologetic	proud	apologetic	0	0	0	0	0	0	0	
383	bubbly :: flat	bubbly	flat	0	0	0	0	0	0	0	
384	tired :: wired	tired	wired	0	0	0	0	0	0	0	
385	woke :: problematic	woke	problematic	1	1	0	0	0	1	1	woke pole (concern for harm/justice/oppression); 'problematic' implies moral valence
386	grumpy :: cheery	grumpy	cheery	0	0	0	0	0	0	0	
387	hippie :: militaristic	hippie	militaristic	0	0	1	1	0	1	0	militaristic pole (hierarchy, obedience, group loyalty); hippie pole (anti-authority/liberty)
388	gluttonous :: moderate	gluttonous	moderate	0	0	0	0	1	0	0	gluttony/intemperance vs moderation (purity/temperance)
389	flawed :: perfect	flawed	perfect	0	0	0	0	0	0	0	
390	sweet :: savory	sweet	savory	0	0	0	0	0	0	0	
391	annoying :: unannoying	annoying	unannoying	0	0	0	0	0	0	0	
392	good-manners :: bad-manners	good-manners	bad-manners	0	0	0	1	0	0	1	manners reflect norms/respect; also general moral valence
393	evolutionist :: creationist	evolutionist	creationist	0	0	0	1	1	0	0	creationist pole (religious/traditional)
394	fulfilled :: unfulfilled	fulfilled	unfulfilled	0	0	0	0	0	0	0	
395	friendly :: unfriendly	friendly	unfriendly	1	0	0	0	0	0	0	friendly pole (kindness/amity)
396	innovative :: routine	innovative	routine	0	0	0	0	0	0	0	
397	delicate :: coarse	delicate	coarse	0	0	0	0	1	0	0	coarse/vulgar vs refined (purity)
398	resentful :: euphoric	resentful	euphoric	0	0	0	0	0	0	0	
399	uptight :: easy	uptight	easy	0	0	0	0	0	0	0	
400	blue :: red	blue	red	0	0	0	0	0	0	0	
