trait_index	differential	left_pole	right_pole	care	fairness	loyalty	authority	purity	liberty	general	notes
126	depressed :: bright	depressed	bright	0	0	0	0	0	0	0	
127	self-conscious :: self-assured	self-conscious	self-assured	0	0	0	0	0	0	0	
128	vulnerable :: armoured	vulnerable	armoured	1	0	0	0	0	0	0	Left pole 'vulnerable' relates to care.
129	warm :: cold	warm	cold	1	0	0	0	0	0	0	Left pole 'warm' relates to care.
130	assertive :: passive	assertive	passive	0	0	0	0	0	0	0	
131	active :: slothful	active	slothful	0	0	0	0	0	0	0	
132	imaginative :: practical	imaginative	practical	0	0	0	0	0	0	0	
133	adventurous :: stick-in-the-mud	adventurous	stick-in-the-mud	0	0	0	0	0	0	0	
134	obedient :: rebellious	obedient	rebellious	0	0	0	1	0	1	0	Left pole 'obedient' relates to authority; right pole'rebellious' relates to liberty.
135	competent :: incompetent	competent	incompetent	0	0	0	0	0	0	0	
136	unambitious :: driven	unambitious	driven	0	0	0	0	0	0	0	
137	simple :: complicated	simple	complicated	0	0	0	0	0	0	0	
138	proletariat :: bourgeoisie	proletariat	bourgeoisie	0	1	0	1	0	0	0	Right pole 'bourgeoisie' relates to authority and fairness.
139	alpha :: beta	alpha	beta	0	0	0	1	0	0	0	Left pole 'alpha' relates to authority.
140	right-brained :: left-brained	right-brained	left-brained	0	0	0	0	0	0	0	
141	thick-skinned :: sensitive	thick-skinned	sensitive	1	0	0	0	0	0	0	Right pole'sensitive' relates to care.
142	charismatic :: uninspiring	charismatic	uninspiring	0	0	0	0	0	0	0	
143	feisty :: gracious	feisty	gracious	1	0	0	0	0	0	0	Right pole 'gracious' relates to care.
144	eloquent :: unpolished	eloquent	unpolished	0	0	0	0	0	0	0	
145	high IQ :: low IQ	high IQ	low IQ	0	0	0	0	0	0	0	
146	insider :: outsider	insider	outsider	0	0	1	0	0	0	0	Left pole 'insider' relates to loyalty.
147	morning lark :: night owl	morning lark	night owl	0	0	0	0	0	0	0	
148	thin :: thick	thin	thick	0	0	0	0	0	0	0	
149	sheeple :: conspiracist	sheeple	conspiracist	0	0	1	0	0	1	0	Left pole'sheeple' relates to loyalty; right pole 'conspiracist' relates to liberty.
150	neat :: messy	neat	messy	0	0	0	0	1	0	0	Left pole 'neat' relates to purity.
