trait_index	differential	left_pole	right_pole	care	fairness	loyalty	authority	purity	liberty	general	notes
101	biased :: impartial	biased	impartial	0	1	0	0	0	0	0	Both poles directly concern bias versus impartiality.
102	mundane :: extraordinary	mundane	extraordinary	0	0	0	0	0	0	0	
103	tiresome :: interesting	tiresome	interesting	0	0	0	0	0	0	0	
104	smooth :: rough	smooth	rough	0	0	0	0	0	0	0	
105	spicy :: mild	spicy	mild	0	0	0	0	0	0	0	
106	enslaved :: emancipated	enslaved	emancipated	0	1	0	0	0	1	0	Enslavement/emancipation directly concerns domination, freedom, and rights.
107	optimistic :: pessimistic	optimistic	pessimistic	0	0	0	0	0	0	0	
108	sickly :: healthy	sickly	healthy	0	0	0	0	1	0	0	Sickly maps to disease/contamination concerns.
109	luddite :: technophile	luddite	technophile	0	0	0	0	0	0	0	
110	vain :: demure	vain	demure	0	0	0	0	1	0	1	Demure suggests modesty; vain is a broad character vice.
111	high-tech :: low-tech	high-tech	low-tech	0	0	0	0	0	0	0	
112	flexible :: rigid	flexible	rigid	0	0	0	0	0	0	0	
113	cosmopolitan :: provincial	cosmopolitan	provincial	0	0	1	0	0	0	0	Provincial/cosmopolitan contrasts local in-group orientation with broader affiliation.
114	arcane :: mainstream	arcane	mainstream	0	0	0	0	0	0	0	
115	outlaw :: sheriff	outlaw	sheriff	0	0	0	1	0	0	0	Outlaw/sheriff concerns law, order, and enforcement.
116	pronatalist :: child free	pronatalist	child free	0	0	1	0	0	0	0	Pronatalist pole is related to family/children.
117	sad :: happy	sad	happy	0	0	0	0	0	0	0	
118	jealous :: compersive	jealous	compersive	0	0	0	0	0	0	0	
119	bitter :: sweet	bitter	sweet	0	0	0	0	0	0	0	
120	resigned :: resistant	resigned	resistant	0	0	0	0	0	1	0	Resistant can express reactance against constraint or domination.
121	sarcastic :: genuine	sarcastic	genuine	0	0	0	0	0	0	1	Genuine suggests a broad virtue of authentic character.
122	human :: animalistic	human	animalistic	0	0	0	0	1	0	0	Animalistic contrasts with elevated, less carnal purity concerns.
123	sporty :: bookish	sporty	bookish	0	0	0	0	0	0	0	
124	moderate :: extreme	moderate	extreme	0	0	0	0	1	0	1	Moderation can imply temperance/self-discipline; extremity can be a broad vice.
125	angry :: good-humored	angry	good-humored	0	0	0	0	0	0	0	
