trait_index	differential	left_pole	right_pole	care	fairness	loyalty	authority	purity	liberty	general	notes
201	anarchist :: statist	anarchist	statist	0	0	0	1	0	1	0	anarchist relates to liberty, statist to authority
202	cool :: dorky	cool	dorky	0	0	0	0	0	0	0	
203	important :: irrelevant	important	irrelevant	0	0	0	0	0	0	0	
204	noob :: pro	noob	pro	0	0	0	0	0	0	0	
205	deranged :: reasonable	deranged	reasonable	0	0	0	0	0	0	1	reasonable implies moral goodness
206	rural :: urban	rural	urban	0	0	0	0	0	0	0	
207	introspective :: not introspective	introspective	not introspective	0	0	0	0	0	0	0	
208	city-slicker :: country-bumpkin	city-slicker	country-bumpkin	0	0	0	0	0	0	0	
209	western :: eastern	western	eastern	0	0	0	0	0	0	0	
210	mad :: glad	mad	glad	0	0	0	0	0	0	0	
211	social :: reclusive	social	reclusive	0	0	0	0	0	0	0	
212	studious :: goof-off	studious	goof-off	0	0	0	0	1	0	0	studious aligns with self-discipline (purity), goof-off opposes it
213	slugabed :: go-getter	slugabed	go-getter	0	0	0	0	1	0	0	go-getter aligns with self-improvement (purity), slugabed opposes it
214	penny-pincher :: overspender	penny-pincher	overspender	0	0	0	0	1	0	0	relates to self-discipline (purity): frugality vs lack of control
215	liberal :: conservative	liberal	conservative	0	0	0	1	0	1	0	liberal aligns with liberty, conservative with authority
216	unassuming :: pretentious	unassuming	pretentious	0	0	0	0	1	0	0	unassuming = modesty (purity virtue), pretentious = opposite
217	persistent :: quitter	persistent	quitter	0	0	0	0	1	0	0	persistence aligns with self-discipline (purity)
218	hedonist :: monastic	hedonist	monastic	0	0	0	0	1	0	0	hedonist is purity vice, monastic is purity virtue
219	patriotic :: unpatriotic	patriotic	unpatriotic	0	0	1	0	0	0	0	patriotic is loyalty virtue, unpatriotic is vice
220	tactful :: indiscreet	tactful	indiscreet	1	0	0	0	0	0	0	tactful avoids harm, relates to care
221	wholesome :: salacious	wholesome	salacious	0	0	0	0	1	0	0	wholesome is purity virtue, salacious is vice
222	joyful :: miserable	joyful	miserable	0	0	0	0	0	0	0	
223	zany :: regular	zany	regular	0	0	0	0	0	0	0	
224	alert :: oblivious	alert	oblivious	0	0	0	0	0	0	0	
225	feminist :: sexist	feminist	sexist	0	1	0	0	0	1	0	feminist aligns with fairness and liberty, sexist violates fairness
